camera,timestamp,x,y,zone
CAM 1,2.0020000000000002,1836,351,Entrance
CAM 1,2.0020000000000002,710,347,Entrance
CAM 1,2.0020000000000002,1354,354,Entrance
CAM 1,2.0020000000000002,1151,230,Entrance
CAM 1,2.0020000000000002,1603,230,Entrance
CAM 1,2.0020000000000002,1073,229,Entrance
CAM 1,2.0020000000000002,1313,228,Entrance
CAM 1,2.0020000000000002,1652,218,Entrance
CAM 1,2.0020000000000002,1786,208,Entrance
CAM 1,2.0020000000000002,1214,212,Entrance
CAM 1,2.0020000000000002,1709,205,Entrance
CAM 1,2.0020000000000002,1833,82,Entrance
CAM 1,2.0020000000000002,1243,27,Entrance
CAM 1,2.168833333333333,1290,1026,Entrance
CAM 1,2.168833333333333,1908,1018,Entrance
CAM 1,2.168833333333333,1755,1023,Entrance
CAM 1,2.168833333333333,1641,1012,Entrance
CAM 1,2.168833333333333,447,1010,Entrance
CAM 1,2.168833333333333,80,850,Entrance
CAM 1,2.168833333333333,1148,868,Entrance
CAM 1,2.168833333333333,15,856,Entrance
CAM 1,2.168833333333333,1821,862,Entrance
CAM 1,2.168833333333333,1325,859,Entrance
CAM 1,2.168833333333333,1572,852,Entrance
CAM 1,2.168833333333333,464,860,Entrance
CAM 1,2.168833333333333,445,690,Entrance
CAM 1,2.168833333333333,1712,676,Entrance
CAM 1,2.168833333333333,1876,683,Entrance
CAM 1,2.168833333333333,1665,672,Entrance
CAM 1,2.168833333333333,600,681,Entrance
CAM 1,2.168833333333333,33,671,Entrance
CAM 1,2.168833333333333,1879,650,Entrance
CAM 1,2.168833333333333,240,673,Entrance
CAM 1,2.168833333333333,1272,554,Entrance
CAM 1,2.168833333333333,624,557,Entrance
CAM 1,2.168833333333333,684,550,Entrance
CAM 1,2.168833333333333,1402,544,Entrance
CAM 1,2.168833333333333,1142,532,Entrance
CAM 1,2.168833333333333,1820,518,Entrance
CAM 1,2.168833333333333,1242,521,Entrance
CAM 1,2.168833333333333,1786,520,Entrance
CAM 1,2.168833333333333,316,529,Entrance
CAM 1,2.168833333333333,476,497,Entrance
CAM 1,2.168833333333333,634,495,Entrance
CAM 1,2.168833333333333,1037,705,Entrance
CAM 1,2.168833333333333,1888,511,Entrance
CAM 1,2.168833333333333,1580,494,Entrance
CAM 1,2.168833333333333,1057,369,Entrance
CAM 1,2.168833333333333,1626,373,Entrance
CAM 1,2.168833333333333,280,353,Entrance
CAM 1,2.168833333333333,1580,336,Entrance
CAM 1,2.168833333333333,561,349,Entrance
CAM 1,2.168833333333333,1633,317,Entrance
CAM 1,2.168833333333333,1836,346,Entrance
CAM 1,2.168833333333333,902,327,Entrance
CAM 1,2.168833333333333,1169,298,Entrance
CAM 1,2.168833333333333,1355,355,Entrance
CAM 1,2.168833333333333,1602,229,Entrance
CAM 1,2.168833333333333,1314,224,Entrance
CAM 1,2.168833333333333,1067,226,Entrance
CAM 1,2.168833333333333,1737,201,Entrance
CAM 1,2.168833333333333,1216,203,Entrance
CAM 1,2.168833333333333,1833,82,Entrance
CAM 1,2.168833333333333,1241,27,Entrance
CAM 1,2.3356666666666666,1754,1024,Entrance
CAM 1,2.3356666666666666,1898,1013,Entrance
CAM 1,2.3356666666666666,1643,1008,Entrance
CAM 1,2.3356666666666666,448,1007,Entrance
CAM 1,2.3356666666666666,17,853,Entrance
CAM 1,2.3356666666666666,78,843,Entrance
CAM 1,2.3356666666666666,1822,857,Entrance
CAM 1,2.3356666666666666,464,854,Entrance
CAM 1,2.3356666666666666,1326,852,Entrance
CAM 1,2.3356666666666666,1563,848,Entrance
CAM 1,2.3356666666666666,445,691,Entrance
CAM 1,2.3356666666666666,1877,682,Entrance
CAM 1,2.3356666666666666,1711,673,Entrance
CAM 1,2.3356666666666666,1666,671,Entrance
CAM 1,2.3356666666666666,600,680,Entrance
CAM 1,2.3356666666666666,33,667,Entrance
CAM 1,2.3356666666666666,1882,648,Entrance
CAM 1,2.3356666666666666,240,671,Entrance
CAM 1,2.3356666666666666,622,554,Entrance
CAM 1,2.3356666666666666,685,549,Entrance
CAM 1,2.3356666666666666,1819,518,Entrance
CAM 1,2.3356666666666666,1245,520,Entrance
CAM 1,2.3356666666666666,1314,506,Entrance
CAM 1,2.3356666666666666,316,524,Entrance
CAM 1,2.3356666666666666,1416,533,Entrance
CAM 1,2.3356666666666666,642,494,Entrance
CAM 1,2.3356666666666666,1774,510,Entrance
CAM 1,2.3356666666666666,1039,703,Entrance
CAM 1,2.3356666666666666,1700,490,Entrance
CAM 1,2.3356666666666666,1888,506,Entrance
